DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Tchéquie,2020,25.5,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Tchéquie,2021,26.2,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Tchéquie,2022,27.7,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Tchéquie,2023,27.9,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Tchéquie,2024,26.5,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2013,19.6,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2014,19.8,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2015,19.7,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2016,20.0,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2017,20.1,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2018,20.8,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2019,21.2,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2020,21.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2021,21.2,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2022,21.6,p,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2023,21.2,p,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Allemagne,2024,20.5,p,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2013,18.8,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2014,19.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2015,19.8,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2016,21.0,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2017,21.2,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2018,21.8,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2019,21.4,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2020,22.2,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2021,23.2,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2022,23.1,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2023,23.5,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Danemark,2024,23.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2013,19.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2014,19.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2015,19.7,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2016,20.0,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2017,20.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2018,20.7,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2019,21.9,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2020,21.8,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2021,21.7,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2022,21.9,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2023,21.9,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 19 pays (2015-2022),2024,21.1,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 20 pays (2023-2025),2013,19.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 20 pays (2023-2025),2014,19.3,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 20 pays (2023-2025),2015,19.7,,
ESTAT:TEC00011(1.0),08/01/26 23:00:00,Annuel,Formation brute de capital fixe,Pourcentage du produit intérieur brut (PIB),Zone euro - 20 pays (2023-2025),2016,20.0,,
